OBJECTID,NUMBER_OF_RACKS,CAPACITY,TYPE,GLOBALID,x,y
94,1,2,Inverted U,709f44e8-0cd0-4fed-bb78-0aa0a6881945,6526307.38521962,1876863.14683536
95,1,2,Inverted U,1f988204-b82c-4ab9-a593-c5221700a2ba,6524922.48813073,1876544.60373823
96,1,2,Inverted U,f98993e0-d10b-46c7-a397-bea95db51fe9,6524985.55700283,1876612.9117628
97,1,2,Inverted U,f1f8510e-32ee-41ee-a017-019f73916d77,6521508.91622446,1876883.11906877
98,1,2,Inverted U,177ef2bd-f5d5-4942-826a-c84fa6ca184a,6520340.98144892,1876813.96911496
99,1,2,Bollard,0dfa4d7f-69c7-472a-96d5-caabfbe19b4a,6519325.33991164,1876905.66286398
100,1,2,Bollard,88dafa36-6126-4443-ad7e-e258db0037b3,6519349.74272506,1876914.37481171
101,1,2,Sub-Standard,07809c15-e20e-448d-a0e2-e9bdb527a414,6536012.07508603,1875565.08418277
102,1,2,Inverted U,6c830d62-4f68-4b28-9579-40918a2d9df9,6534569.51585214,1875535.22607139
103,1,2,Inverted U,12d7ffc7-21ae-43b4-9e6a-ed3a5f50a345,6533139.00904696,1875623.43131322
104,1,2,Inverted U,7437cd7e-ff45-42ab-9fdc-23a6a6527bee,6533028.22517419,1875668.12648557
105,1,2,Inverted U,21486ffd-29aa-4af0-82ff-8f400c1e2c52,6532869.86312504,1875539.30997808
106,1,2,Inverted U,3acef8eb-742c-435b-8d59-898ae465bf50,6532612.70606653,1875671.42120714
107,1,2,Inverted U,84146baa-e424-4749-9709-1f48b9ca82dd,6532539.02887419,1875620.75023633
108,1,2,Inverted U,7c8cfda9-e9e8-4a1c-9a81-4e66a2a47db5,6532166.57243343,1875538.03400068
109,1,2,Inverted U,5db52778-6f69-4370-8276-eb3abf31ba4d,6531847.66170885,1875354.23611757
110,1,2,Inverted U,b8cd85e6-317c-4739-9c59-a9650dde3fca,6531814.28321242,1875301.30959579
